X,Y,lat,lon
-81.27026155,42.99081744,42.99081744,-81.27026155
-81.19195702,42.93177516,42.93177516,-81.19195702
-81.23133725,42.92143964,42.92143964,-81.23133725
-81.27653327,42.95539845,42.95539845,-81.27653327
-81.1779993,42.99899331,42.99899331,-81.1779993
-81.22407249,42.98157916,42.98157916,-81.22407249
-81.32523406,42.98920191,42.98920191,-81.32523406
-81.32908846,42.99875168,42.99875168,-81.32908846
